video_id,title,published_at,views,likes,comments,days_since_release,views_per_day,likes_per_day,comments_per_day,momentum_score,youtube_url,promotion_priority
8PsMWx_BlPU,"Roop Di Rani💃 vibes with Darshangi😍| Ayushmann Khurrana, Wamiqa, Sara, Rakul | Pati Patni Aur Woh Do",2026-04-27T13:46:32Z,129906,1163,22,1,129906.0,1163.0,22.0,78294.69999999998,https://www.youtube.com/watch?v=8PsMWx_BlPU,High
0UM4Axmroeg,"GLORY (Title Track) (Audio) | Divyenndu | Pulkit Samrat | John Stewart, Raiyat, The Revolutions",2026-04-27T12:24:50Z,6986,148,30,1,6986.0,148.0,30.0,4238.999999999999,https://www.youtube.com/watch?v=0UM4Axmroeg,Medium
mnVyGOq4XSg,"GLORY (Full Album) | Divyenndu| Pulkit Samrat| Sez On The Beat,John Stewart,Gauranga| Netflix India",2026-04-27T12:19:07Z,27135,586,84,1,27135.0,586.0,84.0,16465.2,https://www.youtube.com/watch?v=mnVyGOq4XSg,Medium
k455-ngKedI,GLORY: Do Shera (Audio) | Divyenndu | Pulkit Samrat | Parry G | John Stewart Eduri | Parry G,2026-04-27T12:18:58Z,1646,30,6,1,1646.0,30.0,6.0,997.2,https://www.youtube.com/watch?v=k455-ngKedI,Medium
-OB9mQrELYQ,"GLORY: Baat Baat Pe (Audio) | Divyenndu| Pulkit Samrat| Sez on The Beat,Amjad B,Prashant K,Sanjeev P",2026-04-27T12:18:53Z,1327,34,5,1,1327.0,34.0,5.0,806.9,https://www.youtube.com/watch?v=-OB9mQrELYQ,Low
ckqgoiuyGs4,GLORY: Udd Gayi Kabootri (Audio) | Divyenndu | Pulkit Samrat | Arnab D | Gauranga B | Sanjeev P,2026-04-27T12:18:47Z,1045,32,8,1,1045.0,32.0,8.0,637.4,https://www.youtube.com/watch?v=ckqgoiuyGs4,Low
FetqMB9p8sc,"GLORY: Laadli Roothe Na (Audio) | Divyenndu | Pulkit Samrat | Arun Dev, Gauranga-B, Sanjeev P",2026-04-27T12:18:42Z,2047,68,29,1,2047.0,68.0,29.0,1251.5000000000002,https://www.youtube.com/watch?v=FetqMB9p8sc,Medium
EPxPRBsJUUM,GLORY: Aaya Jung Mein (Audio) | Divyenndu | Pulkit Samrat | KD Desirock | SEZ ON THE BEAT,2026-04-27T12:18:38Z,1142,121,35,1,1142.0,121.0,35.0,724.9999999999999,https://www.youtube.com/watch?v=EPxPRBsJUUM,Low
CFA6-mGuVcI,"Ayushmann Khurrana & Sara Ali Khan😍🔥 | Pati Patni Aur Woh Do | Aditya Rikhari, Shreya Ghoshal",2026-04-27T10:26:33Z,36457,274,8,1,36457.0,274.0,8.0,21957.2,https://www.youtube.com/watch?v=CFA6-mGuVcI,High
vq1zWlKoDiE,Hey Shiv Pita Parmatma Karte Hain Teri Prarthana I Shiv Bhajan I Hariharan I Shiv Gungaan | T-Series,2026-04-27T09:22:19Z,59573,419,12,1,59573.0,419.0,12.0,35870.69999999999,https://www.youtube.com/watch?v=vq1zWlKoDiE,High
